Cruise,core,species,Water ,Temp
KNR166-2,11MC,C pachyderma,751,5.8
KNR166-2,28MC,C pachyderma,648,6.3
KNR166-2,28MC,C pachyderma,648,6.3
KNR166-2,62MC,C pachyderma,547,7
KNR166-2,5MC,C pachyderma,447,8.5
KNR166-2,5MC,C pachyderma,447,8.5
KNR166-2,22MC,C pachyderma,398,9
KNR166-2,22MC,C pachyderma,398,9
KNR166-2,55MC,C pachyderma,359,9.1
KNR166-2,55MC,C pachyderma,359,9.1
KNR166-2,103MC,C pachyderma,683,9.3
KNR166-2,103MC,C pachyderma,683,9.3
KNR166-2,125MC,C pachyderma,694,9.4
KNR166-2,13MC,C pachyderma,348,9.7
KNR166-2,13MC,C pachyderma,348,9.7
KNR166-2,53MC,C pachyderma,302,10
KNR166-2,53MC,C pachyderma,302,10
KNR166-2,84MC,C pachyderma,638,10.5
KNR166-2,123MC,C pachyderma,632,10.6
KNR166-2,123MC,C pachyderma,632,10.6
KNR166-2,16MC,C pachyderma,248,10.8
KNR166-2,16MC,C pachyderma,248,10.8
KNR166-2,72MC,C pachyderma,542,10.8
KNR166-2,72MC,C pachyderma,542,10.8
KNR166-2,76MC,C pachyderma,539,11
KNR166-2,76MC,C pachyderma,539,11
KNR166-2,121MC,C pachyderma,578,11.9
KNR166-2,121MC,C pachyderma,578,11.9
KNR166-2,50MC,C pachyderma,198,12.1
KNR166-2,50MC,C pachyderma,198,12.1
KNR166-2,79MC,C pachyderma,486,12.1
KNR166-2,79MC,C pachyderma,486,12.1
KNR166-2,19MC,C pachyderma,173,12.7
KNR166-2,19MC,C pachyderma,173,12.7
KNR166-2,118MC,C pachyderma,531,14.5
KNR166-2,92MC,C pachyderma,478,15.7
KNR166-2,68MC,C pachyderma,431,16.6
KNR166-2,68MC,C pachyderma,431,16.6
KNR166-2,138MC,C pachyderma,484,16.8
KNR166-2,112MC,C pachyderma,404,17.1
KNR166-2,134MC,C pachyderma,441,17.2
KNR166-2,134MC,C pachyderma,441,17.2
KNR166-2,110MC,C pachyderma,390,17.3
KNR166-2,89MC,C pachyderma,353,17.8
KNR166-2,94MC,C pachyderma,259,18.5
KNR166-2,94MC,C pachyderma,259,18.5
KNR166-2,97MC,C pachyderma,303,18.6
KNR166-2,97MC,C pachyderma,303,18.6
KNR177-2,MC-50,O. umbonatus,1906,-0.8
KNR177-2,MC-21,O. umbonatus,2640,-0.9
KNR177-2,MC-45,O. umbonatus,2799,-0.9
KNR177-2,MC-24,O. umbonatus,3036,-0.8
KNR177-2,MC-27,O. umbonatus,3341,-0.8
KNR177-2,MC-27,O. umbonatus,3341,-0.8
KNR177-2,MC-31,O. umbonatus,3873,-0.8
KNR177-2,MC-35,O. umbonatus,3924,-0.8
KNR177-2,MC-14,O. umbonatus,965,-0.6
KNR177-2,MC-14,O. umbonatus,965,-0.6
KNR177-2,MC-11,O. umbonatus,1285,-0.7
KNR177-2,MC-50,O. umbonatus,1906,-0.8
KNR177-2,MC-21,O. umbonatus,2640,-0.9
KNR177-2,MC-24,O. umbonatus,3036,-0.8
KNR177-2,MC-27,O. umbonatus,3341,-0.8
KNR177-2,MC-31,O. umbonatus,3873,-0.8
KNR177-2,MC-35,O. umbonatus,3924,-0.8
OC205-1, BC69,O. umbonatus,735,9.9
OC205-1, BC69,O. umbonatus,735,8.2
OC205-1, BC69,O. umbonatus,735,4
NEAP,13B,O. umbonatus,2546,3.3
NEAP,19B,O. umbonatus,3283,2.7
Sonne-185,18500,O. umbonatus,538,4.6
Sonne-185,18499,O. umbonatus,402,3.7
Sonne-185,18478,O. umbonatus,386,2.9
Sonne-185,18506,O. umbonatus,420,1.9
RR05-03,MC-76,O. umbonatus,1165,3.2
