"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Plantae&taxon_reso=genus&max_ma=75&min_ma=0&cc=NOA&envtype=terr&show=class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Access Time","Fri 2015-12-04 21:27:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","cc","NOA"
"","envtype","terr"
"","min_ma","0"
"","max_ma","75"
"","taxon_reso","genus"
"","taxon_status","all"
"","ident","latest"
"","show","class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Elapsed Time","1.05"
"Records Found","5450"
"Records Returned","5450"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","motility","life_habit","diet","lng","lat","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment"
"130888","occ","","","24315","Abies","genus","55065","Oligocene","Miocene","33.9","5.333","6788","Pinophyta","Pinopsida","Pinales","Pinaceae","Abies","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130889","occ","","","24315","Sequoia","genus","55068","Oligocene","Miocene","33.9","5.333","6788","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Sequoia","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130890","occ","","","24315","Acer","genus","54688","Oligocene","Miocene","33.9","5.333","6788","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Acer","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130891","occ","","","24315","Acer","genus","54688","Oligocene","Miocene","33.9","5.333","6788","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Acer","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130893","occ","","","24315","Cercidiphyllum","genus","54608","Oligocene","Miocene","33.9","5.333","6788","Spermatophyta","Magnoliopsida","Saxifragales","Cercidiphyllaceae","Cercidiphyllum","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130894","occ","","","24315","Cercis","genus","157344","Oligocene","Miocene","33.9","5.333","6788","Spermatophyta","Magnoliopsida","Fabales","Leguminosae","Cercis","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130895","occ","","","24315","Corylus","genus","55296","Oligocene","Miocene","33.9","5.333","6788","Spermatophyta","Magnoliopsida","Fagales","Betulaceae","Corylus","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130897","occ","","","24315","Koelreuteria","genus","157348","Oligocene","Miocene","33.9","5.333","6788","Spermatophyta","Magnoliopsida","Sapindales","Sapindaceae","Koelreuteria","","","","-113.116669","45.150002","gp_mid","-104.47","50.11","127","","","","","""shale""","","","","","","""floodplain"""
"130898","occ","","","23973","Juniperus","genus","82142","Miocene","","23.03","5.333","6788","Pinophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","","","","-113.216667","45.000000","gp_mid","-107.53","48.63","127","","","","","""shale""","","carbonaceous","","","","lacustrine - large"
"130899","occ","","","23973","Mimosites","genus","261799","Miocene","","23.03","5.333","6788","Spermatophyta","Magnoliopsida","Fabales","Fabaceae","Mimosites","","","","-113.216667","45.000000","gp_mid","-107.53","48.63","127","","","","","""shale""","","carbonaceous","","","","lacustrine - large"
"130901","occ","","","23973","Crataegus","genus","157341","Miocene","","23.03","5.333","6788","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","","","","-113.216667","45.000000","gp_mid","-107.53","48.63","127","","","","","""shale""","","carbonaceous","","","","lacustrine - large"
"130902","occ","","","23973","Dalbergia","genus","54651","Miocene","","23.03","5.333","6788","Spermatophyta","Magnoliopsida","Fabales","Leguminosae","Dalbergia","","","","-113.216667","45.000000","gp_mid","-107.53","48.63","127","","","","","""shale""","","carbonaceous","","","","lacustrine - large"
"130903","occ","","","23973","Ulmus","genus","55984","Miocene","","23.03","5.333","6788","Spermatophyta","Dicotyledonae","Urticales","Ulmaceae","Ulmus","","","","-113.216667","45.000000","gp_mid","-107.53","48.63","127","","","","","""shale""","","carbonaceous","","","","lacustrine - large"
"130904","occ","","","22933","Metasequoia occidentalis","species","55254","Miocene","","23.03","5.333","6788","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Metasequoia","","","","-113.216667","45.000000","gp_mid","-107.53","48.63","127","","","","","""shale""","","carbonaceous","","","","lacustrine - large"
"130949","occ","","","10802","Acrovena laevis","species","55331","Wasatchian","","55.8","50.3","4023","Spermatophyta","Magnoliopsida","Myrtales","Melastomataceae","Acrovena","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130950","occ","","","10802","Betula hesterna","species","55293","Wasatchian","","55.8","50.3","4023","Spermatophyta","Magnoliopsida","Fagales","Betulaceae","Betula","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130951","occ","","","10802","Carpolithes bryangosus","species","55345","Wasatchian","","55.8","50.3","4023","","","","","Carpolithes","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130952","occ","","","10802","Cyperacites","genus","55273","Wasatchian","","55.8","50.3","4023","Angiospermae","","Cyperales","Cyperaceae","Cyperacites","","","""photoautotroph""","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130953","occ","","","10802","Equisetum magnum","species","55230","Wasatchian","","55.8","50.3","4023","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
