authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,44348,"P. A.",Adams,,,,1967,"A review of the Mesochrysinae and Nothochrysinae (Neuroptera: Chrysopidae)","Bulletin of the Museum of Comparative Zoology",,135,,215,238,"journal article","stated with evidence",English,,,,,"2013-01-19 10:51:27","2013-01-18 17:51:27"
"M. Uhen","M. Uhen",,36479,"W. A.",Allmon,"S. D.",Emslie,"D. S. Jones, G. S. Morgan",1996,"Late Neogene Oceanographic Change along Florida's West Coast: Evidence and Mechanisms","Journal of Geology",,104,,143,162,"journal article","stated without evidence",English,,,,,"2011-06-22 01:03:13","2011-06-21 10:03:13"
"J. Alroy","J. Alroy","M. Uhen",6294,J.,Alroy,,,,2002,"Synonymies and reidentifications of North American fossil mammals",,,,,,,unpublished,"stated without evidence",English,,,,,"2002-05-25 14:32:19","2013-09-26 12:31:53"
"J. Alroy","J. Alroy",,14678,J.,Alroy,,,,2005,"Synonymies and reidentifications of North American fossil vertebrates",,,,,,,unpublished,"stated without evidence",English,,,,,"2005-09-29 14:26:17","2005-09-29 16:26:21"
"J. Alroy","J. Alroy","J. Alroy",18120,J.,Alroy,,,,2006,"Synonymies and reidentifications of North American fossil vertebrates",,,,,,,unpublished,"stated without evidence",English,,,,,"2006-07-28 22:52:24","2006-07-29 00:52:46"
"J. Alroy","J. Alroy",,19636,J.,Alroy,,,,2007,"Synonymies and reidentifications of North American fossil vertebrates and so forth",,,,,,,unpublished,"stated without evidence",English,,,,,"2007-01-11 17:43:03","2007-01-11 19:43:07"
"J. Alroy","J. Alroy",,31458,J.,Alroy,,,,2010,"Stop the madness",,,,,,,unpublished,"stated without evidence",English,,,,,"2010-01-04 13:30:34","2010-01-04 15:30:34"
"M. Clapham","J. Karr","J. Karr",36713,"S. B.",Archibald,"V. N.",Makarkin,,2006,"Tertiary Giant Lacewings (Neuroptera: Polystoechotidae): revision and description of new taxa from Western North America and Denmark","Journal of Systematic Palaeontology",,4,2,119,155,"journal article","stated with evidence",English,,,,,"2011-07-18 17:48:53","2011-07-18 18:13:35"
"R. Lupia","T. Naeher","J. Alroy",8528,"C. A.",Arnold,,,,1955,"A Tertiary Azolla from British Columbia","Contributions from the Museum of Paleontology, University of Michigan",,12,4,37,45,"journal article","stated without evidence",,,,,,"2003-05-21 08:06:35","2011-11-23 20:48:57"
"B. Tiffney","J. Fosdick","J. Fosdick",9304,"K. R.",Aulenback,B.A.,LePage,,1998,"Taxodium wallisii sp. nov.: First occurence of Taxodium from the Upper Cretaceous","International Journal of Plant Sciences",,159,2,367,390,,"stated without evidence",,,,,,"2003-10-05 18:42:33","2003-10-05 20:42:33"
