taxon,stance
Phenacodontidae,unguligrade
Anthracobunidae,unguligrade
Litopterna,unguligrade
Notoungulata,unguligrade
Perissodactyla,unguligrade
Dinocerata,unguligrade
Arctocyonidae,unguligrade
Mesonychia,unguligrade
Artiodacyla,unguligrade
Aplodontidae,plantigrade
Castoridae,plantigrade
Echimyidae,plantigrade
Erethizontidae,plantigrade
Hystricidae,plantigrade
Sciuridae,plantigrade
Procyonidae,plantigrade
Mustelidae,plantigrade
Musteloidea,plantigrade
Ursidae,plantigrade
Ailuridae,plantigrade
Hyaenidae,digitigrade
Canidae,digitigrade
Felidae,digitigrade
Hippopotamidae,digitigrade
Hyracoidea,plantigrade
Lagomorpha,digitigrade
Primates,plantigrade
Caviidae,digitigrade
Dasyproctidae,digitigrade
Hydrochoeridae,digitigrade
Tubulideantata,digitigrade
Elephantidae,digitigrade
Suidae,digitigrade
Cervidae,unguligrade
Camelidae,unguligrade
Gomphotheriidae,unguligrade
Bovidae,unguligrade
Nothrotheriidae,plantigrade
Cricetidae,plantigrade
Heteromyidae,digitigrade
Mammutidae,unguligrade
Soricidae,plantigrade
Zapodidae,plantigrade
Mylodontidae,plantigrade
Megalonychidae,plantigrade
Tayassuidae,unguligrade
Antilocapridae,unguligrade
Pampatheriidae,plantigrade
Megatheriidae,plantigrade
Glyptodontidae,plantigrade
Muridae,plantigrade
Palaeomerycidae,unguligrade
Gelocidae,unguligrade
Mylagaulidae,fossorial
Merycoidodontidae,digitigrade
Protoceratidae,unguligrade
Eomyidae,plantigrade
Moschidae,unguligrade
Amphicyonidae,plantigrade
Barbourofelidae,digitigrade
Leptomerycidae,unguligrade
Proscalopidae,plantigrade
Anthracotheriidae,digitigrade
Entelodontidae,unguligrade
Hypertragulidae,unguligrade
Allomyidae,plantigrade
Florentiamyidae,plantigrade
Nimravidae,digitigrade
Eutypomyidae,plantigrade
Talpidae,fossorial
Leptochoeridae,unguligrade
Ischyromyidae,plantigrade
Amphilemuridae,plantigrade
Hyaenodontidae,digitigrade
Tenrecidae,plantigrade
Leptictidae,plantigrade
Oromerycidae,unguligrade
Cylindrodontidae,plantigrade
Micropternodontidae,plantigrade
Geolabididae,plantigrade
Simimyidae,plantigrade
Dichobunidae,unguligrade
Reithroparamyidae,plantigrade
Mesonychidae,digitigrade
Sciuravidae,plantigrade
Esthonychidae,plantigrade
Viverravidae,plantigrade
Oxyaenidae,digitigrade
Coryphodontidae,plantigrade
Apheliscidae,plantigrade
Hapalodectidae,plantigrade
Barylambdidae,plantigrade
Apternodontidae,scansorial
Erinaceidae,plantigrade
Cyriacotheriidae,plantigrade
Titanoideidae,plantigrade
Palaeoryctidae,plantigrade
Mixodectidae,plantigrade
Pantolambdidae,plantigrade
Periptychidae,digitigrade
Cimolodontidae,scansorial
Dipodidae,digitigrade
Mephitidae,plantigrade
Jimomyidae,plantigrade
